[(-0.0241968 0.0721515 0.9971), (0.0257912 -0.137518 0.990163)	(-0.0258866 0.00544488 0.99965), (0.0827347 -0.013954 0.996474)	(0.00979334 -0.031046 0.99947), (-0.0412317 0.0907396 0.995021)], [(0.0447201 -0.120014 0.991765), (-0.00773323 -0.112868 0.99358)	(-0.0506458 -0.106428 0.99303), (0.0859315 -0.0652861 0.99416)	(0.167972 -0.0218982 0.985548), (0.140732 0.0034058 0.990042)], [(-0.2872 0.0141076 0.957767), (-0.150293 -0.149393 0.977289)	(-0.060698 -0.0854214 0.994494), (-0.0766079 -0.0615598 0.995159)	(0.151256 0.127926 0.980182), (-0.111599 0.203768 0.972638)]
[(-0.00653785 -0.117886 0.993006), (0.125834 -0.0274122 0.991673)	(0.218968 -0.00572344 0.975715), (0.0428706 0.142113 0.988922)	(0.00409235 0.0734959 0.997287), (0.125806 -0.015649 0.991931)], [(0.229792 -0.127416 0.964863), (0.0962109 0.00128593 0.99536)	(-0.0757547 -0.0224174 0.996874), (-0.120086 -0.109422 0.986715)	(-0.0576104 -0.0755871 0.995474), (0.0312854 -0.126916 0.99142)], [(-0.0448957 0.129435 0.990571), (0.0193462 0.121976 0.992344)	(-0.012318 -0.0260089 0.999586), (0.0187222 0.0488945 0.998628)	(0.0987823 0.0688937 0.992721), (0.160978 0.105792 0.981272)]
[(0.00285959 0.0562569 0.998412), (-0.069105 -0.0780347 0.994553)	(-0.0292651 -0.111114 0.993377), (-0.0686145 0.202774 0.976819)	(0.119695 0.108948 0.986815), (0.215524 -0.00814012 0.976465)], [(0.0839971 -0.0254284 0.996141), (0.000511199 -0.083399 0.996516)	(0.0559216 -0.15038 0.987045), (-0.111394 0.0501063 0.992512)	(-0.109955 -0.0129568 0.993852), (0.0403799 0.0768205 0.996227)], [(0.0244214 0.105742 0.994094), (0.0765156 -0.0164831 0.996932)	(-0.00446541 0.0859795 0.996287), (-0.0832407 0.0473315 0.995405)	(-0.209256 0.2532 0.944511), (0.0357548 0.231784 0.97211)]
[(0.0526411 -0.0182381 0.998447), (0.191772 0.151066 0.969743)	(-0.0443787 0.016 0.998887), (0.0847403 -0.0445538 0.995406)	(0.271432 -0.0966943 0.957588), (0.109866 0.0871805 0.990116)], [(-0.0484107 -0.106405 0.993144), (-0.063061 -0.0054525 0.997995)	(-0.0985103 0.0600144 0.993325), (0.169481 -0.140152 0.975517)	(-0.00710112 -0.248607 0.968578), (0.0849611 0.115679 0.989646)], [(0.0885494 0.0934777 0.991676), (-0.112127 -0.0180227 0.993531)	(-0.059571 0.166385 0.98426), (0.0332404 -0.0401345 0.998641)	(0.112309 0.091524 0.989449), (0.0548071 0.179342 0.982259)]
[(-0.082478 0.0371816 0.995899), (-0.134355 0.0281288 0.990534)	(-0.122483 0.0672952 0.990186), (-0.0252552 0.123722 0.991995)	(0.00311455 0.0646514 0.997903), (-0.136923 0.0591734 0.988813)], [(-0.20591 0.0315997 0.978061), (-0.108305 0.0889354 0.990132)	(-0.0537326 0.217161 0.974656), (0.194125 0.0658771 0.978762)	(-0.0851371 -0.0268653 0.996007), (0.0762594 0.110116 0.990989)], [(-0.148135 0.131325 0.980209), (-0.275047 0.158941 0.948202)	(-0.102609 0.0820196 0.991334), (-0.100357 0.136298 0.985572)	(-0.0552125 0.105028 0.992935), (-0.248432 0.130041 0.959881)]
[(-0.145315 0.0763183 0.986437), (0.0984868 0.00475663 0.995127)	(-0.0335669 0.0749705 0.996621), (0.0501533 -0.0504405 0.997467)	(0.0665105 -0.0374022 0.997084), (0.0102238 -0.262752 0.964809)], [(0.0876417 0.188092 0.978233), (-0.0265992 0.0309871 0.999166)	(-0.0687528 -0.181363 0.98101), (0.0577509 -0.0108259 0.998272)	(0.133338 -0.133049 0.982099), (0.0951104 0.034245 0.994878)], [(0.234172 -0.0114318 0.972128), (-0.027001 -0.0462006 0.998567)	(0.000634313 -0.154578 0.98798), (0.171185 -0.155881 0.972829)	(0.133606 -0.137236 0.981486), (0.128595 0.184792 0.974328)]
[(-0.160574 0.127274 0.978784), (0.024451 0.216411 0.975996)	(0.115642 -0.0245923 0.992986), (-0.015372 -0.132578 0.991053)	(-0.0750769 0.0635186 0.995153), (0.0900181 0.0518629 0.994589)], [(0.0945341 0.0591793 0.993761), (0.28635 -0.132268 0.948952)	(0.0820561 -0.119819 0.989399), (0.138838 -0.0692315 0.987892)	(0.148898 -0.0437263 0.987885), (0.0051924 -0.155512 0.98782)], [(0.218649 0.247928 0.943782), (0.138792 0.055667 0.988756)	(-0.00370344 0.0165826 0.999856), (0.0602811 -0.0130351 0.998096)	(-0.0635117 0.0408254 0.997146), (0.0509174 0.0607634 0.996853)]
[(-0.0877625 -0.0879659 0.99225), (-0.0365592 0.174115 0.984047)	(0.0836967 -0.105971 0.990841), (-0.0542947 0.0719348 0.99593)	(0.172374 -0.139129 0.975157), (0.108131 -0.0622513 0.992186)], [(0.0286862 -0.0181548 0.999424), (-0.0964117 -0.14672 0.984468)	(-0.0316108 -0.00542881 0.999485), (0.0338492 -0.182073 0.982702)	(-0.109123 -0.00963208 0.993982), (0.061993 -0.0432558 0.997139)], [(0.114285 0.00467712 0.993437), (0.12656 -0.0564857 0.990349)	(-0.0318517 -0.103294 0.994141), (-0.0634714 0.0330138 0.997437)	(0.0570918 0.104024 0.992935), (0.0795064 0.0228306 0.996573)]
[(-0.0443013 0.0272555 0.998646), (-0.0971024 -0.109503 0.989232)	(0.112312 -0.134659 0.984506), (0.251505 -0.167921 0.953178)	(0.0804705 -0.0974945 0.991977), (-0.0948042 -0.124036 0.987738)], [(0.0357644 0.137238 0.989892), (0.117942 0.0328509 0.992477)	(0.156982 -0.0617662 0.985668), (0.0885465 -0.234308 0.968121)	(0.0613497 -0.159402 0.985306), (0.0422275 0.077351 0.996109)], [(-0.031399 0.035735 0.998868), (-0.0489352 0.0488318 0.997608)	(-0.0713369 -0.111669 0.991182), (0.0555075 -0.351037 0.934715)	(0.267365 -0.208647 0.940735), (-0.127353 -0.118849 0.984711)]
[(-0.0736717 0.00344731 0.997277), (-0.116751 0.032978 0.992614)	(0.0428324 -0.120924 0.991737), (0.151545 -0.03584 0.9878)	(-0.0546307 -0.151634 0.986926), (-0.159651 0.0982366 0.982273)], [(-0.0525767 -0.0944376 0.994141), (0.0414843 0.0591908 0.997384)	(-0.195786 0.131371 0.971807), (-0.214044 -0.0942933 0.972262)	(0.0129865 0.0091676 0.999874), (-0.264212 -0.271654 0.925417)], [(-0.143189 -0.037502 0.988985), (-0.0228848 -0.0928525 0.995417)	(-0.0278951 -0.0245993 0.999308), (0.188973 -0.0733478 0.979239)	(0.107557 -0.166131 0.98022), (-0.13898 -0.118465 0.983184)]
[(0.105554 0.0183156 0.994245), (-0.0559473 0.183729 0.981384)	(-0.0289745 0.220638 0.974925), (-0.177739 0.121076 0.976601)	(-0.0617223 0.0430725 0.997164), (0.0897622 0.0588959 0.99422)], [(0.118094 -0.0900281 0.988913), (0.146175 0.159419 0.976329)	(0.119198 0.116243 0.986042), (0.0212597 0.218391 0.97563)	(-0.0605346 -0.0361923 0.99751), (-0.00964104 0.0823668 0.996555)], [(-0.171759 -0.219707 0.960327), (-0.110054 0.14876 0.98273)	(-0.186512 0.0575845 0.980764), (-0.0696001 -0.0708722 0.995054)	(0.0355138 -0.0843336 0.995804), (-0.0306005 -0.103113 0.994199)]
[(-0.000207402 0.0965805 0.995325), (-0.00434834 -0.0148291 0.999881)	(-0.0996669 0.145062 0.98439), (0.0427242 0.119106 0.991962)	(-0.114218 -0.0359087 0.992807), (-0.100238 0.096656 0.990258)], [(-0.115459 0.0731342 0.990616), (-0.19231 -0.0298746 0.980879)	(-0.150042 0.0299481 0.988226), (-0.0852073 -0.0460434 0.995299)	(0.119767 -0.111663 0.986503), (0.10519 -0.0126439 0.994372)], [(-0.169371 -0.00277388 0.985548), (-0.168247 -0.00527978 0.985731)	(-0.0690366 -0.0198169 0.997417), (-0.0325498 -0.0650386 0.997352)	(-0.0601836 0.0607014 0.99634), (0.0362491 -0.0210646 0.999121)]
[(-0.081599 -0.10583 0.991031), (-0.0863955 0.0337295 0.99569)	(0.00246934 -0.00867691 0.999959), (-0.0569944 0.0150012 0.998262)	(0.0737627 0.00225058 0.997273), (-0.142134 0.0149106 0.989735)], [(-0.00193907 -0.0843719 0.996432), (0.16041 -0.0360698 0.986391)	(-0.165153 -0.184626 0.968833), (-0.0784084 -0.0262348 0.996576)	(-0.101531 -0.0153737 0.994714), (-0.16979 0.0741676 0.982685)], [(-0.222499 -0.169212 0.960136), (-0.131755 -0.171437 0.976345)	(-0.177912 -0.0680305 0.981692), (-0.379682 -0.0386409 0.92431)	(-0.0300127 -0.225954 0.973676), (-0.150262 -0.110268 0.982478)]
[(0.122541 0.0539406 0.990997), (0.0296418 0.0441465 0.998585)	(-0.0464633 -0.269606 0.961849), (-0.0834794 0.0516294 0.995171)	(-0.134418 0.11886 0.98377), (0.253893 0.120196 0.959735)], [(-0.0329337 0.130421 0.990912), (-0.0291868 -0.171333 0.984781)	(-0.0772666 -0.172799 0.981922), (-0.213445 -0.0344243 0.976348)	(-0.0716829 0.00149013 0.997426), (0.115069 0.0880035 0.989452)], [(0.0338835 -0.00525573 0.999412), (-0.0956782 -0.0427661 0.994493)	(0.0535562 -0.00209318 0.998563), (-0.123314 -0.0565493 0.990755)	(-0.0761619 -0.0427197 0.99618), (-0.0686229 -0.0329118 0.9971)]
[(-0.0823634 -0.212056 0.97378), (-0.153171 -0.12272 0.98055)	(-0.185763 0.0586093 0.980845), (-0.0227407 -0.226923 0.973647)	(0.0854155 -0.235325 0.968156), (-0.0899528 -0.115396 0.989238)], [(-0.0185206 -0.0374203 0.999128), (-0.118237 -0.108436 0.987047)	(-0.0168299 -0.0675145 0.997576), (-0.0552528 -0.0759972 0.995576)	(-0.0490411 -0.174597 0.983418), (-0.263541 -0.310039 0.913467)], [(0.00946267 -0.0879321 0.996082), (-0.036099 0.0236223 0.999069)	(-0.0329003 -0.185224 0.982145), (0.161662 -0.135352 0.97752)	(0.0227386 -0.204647 0.978572), (-0.0564871 -0.14849 0.987299)]
[(-0.0647743 0.257001 0.964238), (0.109528 0.157026 0.981502)	(-0.0305981 -0.227461 0.973306), (0.0647863 0.121615 0.990461)	(0.0719882 0.283976 0.956125), (-0.0250914 0.147167 0.988793)], [(-0.202263 0.211441 0.956234), (-0.221686 0.138089 0.965291)	(-0.0298742 0.231748 0.972317), (0.0101617 0.196887 0.980373)	(-0.0233926 0.01753 0.999573), (-0.147264 0.112575 0.98267)], [(0.0416925 0.165424 0.985341), (0.132791 0.196356 0.971499)	(0.107688 0.0653505 0.992035), (0.0446869 -0.0340856 0.998419)	(0.236869 -0.0287791 0.971115), (0.0160593 0.266999 0.963563)]
